Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
28,Female,60538,UK,Self-employed,27,5,PC,Guild Wars 2,MMORPG,"Pay-to-win,Toxicity",3,3,"Story,Customization",3,11,Freemium,144,Yes,"Progression boost,Supporting devs","Time commitment,Other",4,4,No,Yes
26,Female,83014,Other,Student,9,16,PC,World of Warcraft,MOBA,Repetitive quests,4,3,"Customization,PvE",1,15,Freemium,70,No,Other,"Technical barriers,Toxicity",4,4,No,Yes
25,Female,26281,USA,Employed,1,4,Mobile,Elder Scrolls Online,MOBA,"Toxicity,Technical issues",4,4,Exploration,1,13,Free-to-play,150,No,"Social reasons,Other","Complexity,Technical barriers,Lack of friends",3,4,No,Maybe
26,Female,22663,UK,Employed,14,8,PC,Guild Wars 2,MOBA,Repetitive quests,5,5,PvP,1,39,Subscription,166,No,"Supporting devs,Progression boost,Social reasons","Lack of friends,Complexity",4,4,Yes,No
45,Female,53393,Australia,Self-employed,21,9,Mobile,,MMORPG,Pay-to-win,4,3,"Crafting,Social systems",4,5,Freemium,69,Maybe,"Supporting devs,Other","Technical barriers,Lack of friends",3,4,No,Maybe
42,Male,15777,UK,Employed,17,0,Console,Guild Wars 2,MMORPG,Technical issues,3,5,Exploration,4,3,Freemium,7,Yes,"Other,Progression boost","Complexity,Time commitment,Lack of friends",4,3,Yes,No
27,Male,41059,Germany,Unemployed,6,14,Console,Other,FPS,"Technical issues,Toxicity",4,1,"Customization,Trading",3,6,Free-to-play,210,No,"Other,Social reasons,Progression boost","Complexity,Technical barriers",3,3,No,Maybe
29,Female,61875,USA,Employed,2,4,PC,Black Desert,MMORPG,Other,3,3,"Story,Customization",5,15,Freemium,0,Maybe,"Exclusive content,Supporting devs",Toxicity,4,5,Yes,Yes
33,Non-binary,18775,USA,Student,8,11,Console,Guild Wars 2,MMORPG,"Pay-to-win,Technical issues,Other",3,4,"Exploration,Story",4,4,Subscription,92,Yes,Cosmetics,Technical barriers,1,2,Yes,Yes
24,Female,21506,UK,Employed,25,0,Console,Guild Wars 2,MMORPG,"Pay-to-win,Toxicity",3,4,"PvP,Story,Exploration",5,0,Free-to-play,251,Yes,"Social reasons,Exclusive content","Toxicity,Lack of friends",4,3,No,Yes
29,Female,44335,UK,Self-employed,7,6,Console,Other,Casual,"Technical issues,Poor community,Pay-to-win",3,4,Exploration,3,24,Free-to-play,0,No,"Cosmetics,Exclusive content","Toxicity,Complexity",5,2,No,Yes
24,Male,53860,India,Unemployed,14,3,Console,Guild Wars 2,MMORPG,"Toxicity,Repetitive quests,Technical issues",3,3,Social systems,3,18,Free-to-play,146,Yes,Social reasons,"Complexity,Toxicity,Technical barriers",3,4,No,No
28,Male,60260,UK,Employed,17,2,PC,Final Fantasy XIV,MOBA,"Pay-to-win,Lack of innovation",3,4,"Crafting,Trading,PvE",3,11,Free-to-play,115,No,"Cosmetics,Exclusive content,Progression boost","Complexity,Toxicity",5,3,Yes,Yes
29,Male,36275,Other,Employed,10,10,PC,,MMORPG,Technical issues,4,4,"Social systems,Endgame content",5,12,Freemium,188,Maybe,Exclusive content,"Lack of friends,Time commitment",3,4,No,No
25,Male,42129,Other,Student,16,2,Console,Other,FPS,"Repetitive quests,Toxicity,Technical issues",5,2,"Social systems,Endgame content",1,21,Subscription,202,No,Supporting devs,"Time commitment,Complexity,Technical barriers",4,4,Yes,Yes
25,Male,25626,USA,Employed,12,3,Console,World of Warcraft,MMORPG,"Technical issues,Lack of innovation,Repetitive quests",4,3,Trading,3,9,Buy-to-play,153,No,Social reasons,Technical barriers,3,3,Yes,Yes
27,Male,45364,USA,Self-employed,7,4,Mobile,Black Desert,MMORPG,"Technical issues,Lack of innovation",4,2,"Exploration,Social systems",2,6,Subscription,72,No,"Cosmetics,Exclusive content,Supporting devs",Other,4,5,No,No
32,Non-binary,37050,India,Student,11,1,Mobile,,FPS,"Technical issues,Pay-to-win",3,3,"Customization,Social systems,PvP",3,5,Free-to-play,167,Yes,Cosmetics,"Other,Lack of friends",5,3,Yes,Maybe
28,Female,56674,Germany,Student,8,6,Multiple,Other,Casual,Other,4,4,"PvP,Trading",2,12,Subscription,164,No,Progression boost,"Technical barriers,Complexity",5,4,No,Yes
41,Female,27346,Other,Employed,18,6,PC,World of Warcraft,FPS,Repetitive quests,5,3,Social systems,2,7,Subscription,0,Maybe,"Supporting devs,Cosmetics","Lack of friends,Other",3,3,Yes,No
27,Male,47613,Germany,Unemployed,27,9,PC,Other,MMORPG,"Technical issues,Toxicity,Too grindy",3,3,"Exploration,Social systems",4,1,Free-to-play,338,Yes,"Social reasons,Other,Cosmetics",Other,5,3,Yes,Yes
16,Female,78978,UK,Employed,11,10,PC,Elder Scrolls Online,FPS,Poor community,2,3,"Story,PvE,Customization",3,12,Free-to-play,41,Yes,Social reasons,"Complexity,Time commitment,Lack of friends",4,2,No,Yes
25,Female,42622,USA,Employed,16,8,Console,Lost Ark,MOBA,"Too grindy,Technical issues",2,2,Trading,4,14,Freemium,2,No,"Exclusive content,Other","Complexity,Toxicity",5,4,No,Yes
34,Female,41512,UK,Student,28,13,Console,Elder Scrolls Online,MMORPG,Toxicity,3,4,"Trading,Social systems,Exploration",4,22,Free-to-play,0,Yes,Social reasons,"Other,Technical barriers",4,5,Yes,Yes
16,Male,22211,India,Employed,1,4,Mobile,Guild Wars 2,Other,"Pay-to-win,Other",4,5,"Story,Exploration",3,25,Free-to-play,0,No,"Exclusive content,Supporting devs","Other,Time commitment,Lack of friends",2,3,No,Maybe
28,Female,39484,Canada,Student,1,5,PC,Elder Scrolls Online,MOBA,"Too grindy,Poor community,Repetitive quests",2,4,Story,3,4,Free-to-play,33,No,Progression boost,Technical barriers,2,3,No,Yes
32,Male,24517,USA,Unemployed,16,3,Multiple,Black Desert,MOBA,"Pay-to-win,Repetitive quests",3,3,Crafting,1,7,Free-to-play,0,No,"Supporting devs,Cosmetics",Lack of friends,5,4,Yes,No
21,Male,44666,India,Employed,11,5,Multiple,Final Fantasy XIV,MOBA,"Too grindy,Technical issues",4,4,"Story,Trading,Endgame content",2,7,Buy-to-play,64,Yes,"Exclusive content,Progression boost",Time commitment,1,2,Yes,Yes
35,Male,91352,USA,Employed,10,8,Mobile,Other,FPS,"Poor community,Repetitive quests,Lack of innovation",4,5,Social systems,4,10,Freemium,0,No,Social reasons,"Complexity,Toxicity",2,4,Yes,No
20,Male,19709,UK,Employed,6,1,PC,,MMORPG,Too grindy,5,4,Story,3,23,Free-to-play,110,Yes,"Progression boost,Supporting devs,Other",Toxicity,3,5,No,Maybe
29,Female,23893,Other,Other,10,2,Mobile,Final Fantasy XIV,MOBA,Poor community,2,4,Story,4,0,Free-to-play,173,Yes,Progression boost,"Lack of friends,Technical barriers,Time commitment",3,3,No,Yes
21,Female,26056,USA,Employed,12,2,PC,Black Desert,MMORPG,Too grindy,4,3,"Customization,Endgame content",3,4,Free-to-play,25,Yes,Cosmetics,"Complexity,Time commitment,Other",4,4,Yes,No
19,Male,42178,Other,Employed,18,0,Console,Final Fantasy XIV,Strategy,Repetitive quests,4,3,"Social systems,Trading",3,5,Buy-to-play,0,No,"Social reasons,Cosmetics","Toxicity,Other,Complexity",2,4,No,Yes
27,Male,25535,Germany,Self-employed,17,0,PC,World of Warcraft,FPS,"Lack of innovation,Other,Too grindy",3,2,"Story,Customization",2,12,Subscription,0,No,"Exclusive content,Supporting devs","Complexity,Other,Lack of friends",3,5,Yes,Yes
21,Female,60952,Brazil,Employed,2,8,Mobile,World of Warcraft,FPS,"Technical issues,Too grindy,Pay-to-win",5,1,"Exploration,Story",2,16,Free-to-play,73,No,Progression boost,"Other,Time commitment,Technical barriers",4,3,No,Yes
26,Male,37129,UK,Self-employed,21,7,Console,Final Fantasy XIV,Casual,Poor community,4,3,"PvP,PvE,Crafting",2,8,Free-to-play,151,No,Supporting devs,Toxicity,3,4,No,Yes
40,Female,62041,India,Student,9,10,Console,World of Warcraft,MMORPG,Poor community,3,1,"Exploration,Story",2,0,Free-to-play,54,Yes,"Other,Progression boost,Cosmetics",Lack of friends,4,5,No,Yes
28,Male,35970,Australia,Employed,18,0,Mobile,Other,MMORPG,"Too grindy,Poor community",4,4,Social systems,2,21,Freemium,144,Maybe,Social reasons,"Lack of friends,Technical barriers,Time commitment",3,4,Yes,Yes
41,Male,43955,USA,Employed,13,4,Console,Lost Ark,MMORPG,"Poor community,Pay-to-win,Too grindy",3,4,Exploration,3,12,Subscription,37,No,Other,"Lack of friends,Technical barriers",4,4,No,Yes
33,Female,31100,India,Employed,9,2,Console,Elder Scrolls Online,MMORPG,"Other,Lack of innovation",3,4,"Exploration,PvP",4,4,Free-to-play,213,Yes,"Cosmetics,Exclusive content","Time commitment,Technical barriers,Lack of friends",5,4,No,No
39,Female,27258,Germany,Self-employed,2,0,PC,,FPS,Other,5,4,Story,2,14,Free-to-play,0,Yes,"Social reasons,Other,Progression boost","Toxicity,Other",5,4,Yes,Maybe
26,Female,57692,India,Employed,15,6,Console,Other,MMORPG,"Poor community,Other,Too grindy",3,4,"Crafting,Story,Endgame content",5,22,Subscription,307,No,Cosmetics,"Lack of friends,Toxicity,Complexity",3,3,No,Maybe
25,Female,41268,India,Employed,20,0,PC,Lost Ark,MMORPG,Lack of innovation,5,3,"Trading,Endgame content",3,3,Free-to-play,0,No,"Supporting devs,Other,Exclusive content","Toxicity,Technical barriers,Complexity",4,4,No,Yes
16,Male,21003,India,Unemployed,9,12,PC,Lost Ark,MOBA,Other,3,2,"Exploration,Social systems,PvE",2,9,Free-to-play,0,No,Cosmetics,"Technical barriers,Lack of friends,Other",3,3,No,Maybe
30,Male,101161,USA,Student,21,4,Mobile,World of Warcraft,MOBA,"Pay-to-win,Lack of innovation",2,5,"PvE,Exploration,PvP",3,12,Free-to-play,96,Yes,"Exclusive content,Progression boost","Toxicity,Time commitment",4,3,Yes,Yes
21,Male,30533,USA,Student,11,3,PC,Lost Ark,Strategy,Too grindy,3,4,"Social systems,Crafting",2,24,Free-to-play,0,Maybe,Cosmetics,Complexity,5,5,No,No
16,Male,33814,UK,Student,9,0,PC,,MMORPG,"Too grindy,Lack of innovation",3,2,"Trading,Crafting,Social systems",5,19,Subscription,265,No,"Other,Exclusive content,Cosmetics",Technical barriers,4,2,No,Maybe
22,Male,51261,Australia,Student,2,8,PC,World of Warcraft,MMORPG,Lack of innovation,3,3,PvE,4,15,Subscription,53,Yes,"Cosmetics,Progression boost,Social reasons","Lack of friends,Complexity,Technical barriers",5,2,Yes,Maybe
30,Male,53989,USA,Student,9,7,Multiple,Other,Other,"Other,Poor community,Too grindy",2,4,"Trading,Exploration,Crafting",2,7,Free-to-play,236,Yes,"Social reasons,Other","Lack of friends,Other,Toxicity",3,2,No,Yes
16,Male,54339,Germany,Self-employed,1,13,PC,Elder Scrolls Online,FPS,"Pay-to-win,Too grindy",1,5,"Exploration,Endgame content",3,11,Subscription,29,No,"Exclusive content,Cosmetics","Lack of friends,Toxicity,Time commitment",4,3,Yes,No
33,Male,42493,India,Unemployed,13,4,Console,,MMORPG,Repetitive quests,3,4,"Story,Endgame content,Trading",2,1,Free-to-play,196,No,"Cosmetics,Social reasons",Technical barriers,4,3,Yes,Yes
26,Male,47752,Other,Student,7,2,Console,Final Fantasy XIV,MMORPG,"Other,Pay-to-win",4,3,"Exploration,Social systems,PvE",4,0,Freemium,233,Maybe,"Exclusive content,Cosmetics","Toxicity,Time commitment,Other",4,4,No,Maybe
32,Female,92294,India,Self-employed,20,0,PC,Guild Wars 2,Strategy,Other,2,3,Story,3,16,Free-to-play,5,No,"Exclusive content,Other,Cosmetics","Other,Lack of friends",4,3,No,Maybe
21,Female,19864,Other,Employed,4,0,Console,Lost Ark,MMORPG,"Poor community,Toxicity,Pay-to-win",3,5,"Endgame content,PvP",3,33,Free-to-play,164,Yes,"Progression boost,Cosmetics,Supporting devs",Toxicity,4,3,Yes,Maybe
30,Male,30097,India,Student,12,16,Console,Elder Scrolls Online,MMORPG,"Lack of innovation,Toxicity,Technical issues",3,5,PvP,3,11,Freemium,330,Yes,Supporting devs,"Technical barriers,Time commitment",3,5,No,No
30,Male,30295,Germany,Self-employed,17,9,PC,Final Fantasy XIV,MOBA,Other,4,2,"Social systems,Endgame content",2,10,Subscription,90,No,"Cosmetics,Social reasons,Progression boost","Technical barriers,Other",4,4,Yes,Yes
16,Male,48537,USA,Student,16,8,Mobile,Other,MMORPG,Lack of innovation,5,4,"Story,Trading,Customization",4,11,Freemium,0,Maybe,"Exclusive content,Other","Technical barriers,Lack of friends",4,4,No,Yes
27,Male,21197,Germany,Unemployed,3,10,Console,World of Warcraft,Casual,"Poor community,Other",3,4,"Story,Customization,Crafting",3,33,Free-to-play,221,No,Social reasons,"Lack of friends,Technical barriers,Toxicity",3,4,No,No
22,Female,32297,USA,Employed,9,6,Console,Lost Ark,Strategy,Toxicity,3,5,"PvP,Endgame content,Social systems",2,10,Free-to-play,42,No,"Supporting devs,Progression boost,Cosmetics","Toxicity,Complexity,Lack of friends",5,4,No,Maybe
33,Male,19095,Canada,Employed,14,9,PC,World of Warcraft,MMORPG,"Pay-to-win,Repetitive quests,Technical issues",4,5,"PvP,Social systems",3,23,Subscription,398,No,Other,Technical barriers,3,3,No,No
36,Female,88414,UK,Unemployed,7,4,Console,Final Fantasy XIV,MMORPG,"Lack of innovation,Repetitive quests",3,2,Customization,3,3,Free-to-play,0,Maybe,"Other,Exclusive content,Progression boost","Complexity,Technical barriers,Toxicity",3,4,No,Yes
36,Male,24363,Germany,Employed,19,5,Console,Black Desert,MOBA,Repetitive quests,3,4,"Endgame content,Exploration",1,15,Freemium,121,Yes,Other,"Lack of friends,Toxicity,Other",4,4,Yes,Maybe
43,Female,29176,USA,Employed,7,3,Multiple,Lost Ark,Other,Technical issues,3,3,Exploration,4,23,Free-to-play,25,No,"Social reasons,Progression boost,Supporting devs","Toxicity,Technical barriers,Other",3,4,Yes,No
22,Female,55075,India,Employed,13,0,PC,Other,MMORPG,"Pay-to-win,Lack of innovation",5,5,PvP,3,8,Freemium,137,No,"Social reasons,Progression boost","Toxicity,Other",4,4,No,Maybe
40,Male,36736,India,Self-employed,5,0,Multiple,Elder Scrolls Online,MMORPG,Too grindy,3,3,"Social systems,Crafting",5,7,Freemium,129,Maybe,Cosmetics,"Technical barriers,Time commitment,Toxicity",3,5,Yes,Maybe
43,Male,30778,Other,Unemployed,8,10,PC,Final Fantasy XIV,MMORPG,"Other,Lack of innovation,Poor community",4,5,"Crafting,PvP,Story",4,9,Free-to-play,176,Yes,"Other,Social reasons,Supporting devs","Toxicity,Time commitment,Lack of friends",5,4,No,Yes
29,Male,68414,UK,Student,21,11,Mobile,Lost Ark,MMORPG,"Too grindy,Poor community,Lack of innovation",4,3,"Trading,PvP",4,21,Free-to-play,0,No,"Cosmetics,Exclusive content,Other","Technical barriers,Complexity",4,3,Yes,Yes
26,Male,76056,India,Employed,13,6,Console,Guild Wars 2,Strategy,"Pay-to-win,Technical issues,Repetitive quests",2,4,"Story,PvE,Exploration",3,29,Buy-to-play,59,Yes,"Progression boost,Other,Cosmetics","Lack of friends,Time commitment,Complexity",4,4,No,Yes
37,Female,38267,USA,Student,14,8,Console,,MOBA,"Too grindy,Repetitive quests",4,3,"PvP,Trading",3,20,Free-to-play,0,Yes,Exclusive content,"Time commitment,Toxicity",4,3,Yes,Maybe
34,Female,18739,India,Employed,7,7,PC,Other,MMORPG,"Poor community,Lack of innovation,Other",5,3,Crafting,3,27,Free-to-play,0,Maybe,Exclusive content,"Lack of friends,Technical barriers",1,4,No,Yes
22,Male,24085,USA,Student,17,6,Mobile,World of Warcraft,Strategy,"Too grindy,Pay-to-win",3,2,PvE,3,17,Free-to-play,87,No,Progression boost,"Time commitment,Lack of friends,Technical barriers",5,2,Yes,Yes
16,Female,28397,Germany,Student,11,6,Mobile,Lost Ark,FPS,"Lack of innovation,Pay-to-win,Poor community",3,4,Endgame content,1,23,Free-to-play,89,Maybe,"Progression boost,Social reasons,Supporting devs",Toxicity,5,4,No,No
29,Female,53363,Germany,Student,15,8,Mobile,,MMORPG,Technical issues,5,4,"Crafting,Social systems,PvP",4,11,Freemium,287,Yes,Cosmetics,Toxicity,3,5,No,Maybe
25,Female,19626,Brazil,Student,13,3,Console,World of Warcraft,Casual,Repetitive quests,4,3,"Trading,Story",2,0,Freemium,41,Yes,"Exclusive content,Social reasons,Progression boost","Technical barriers,Complexity,Lack of friends",1,2,No,No
31,Female,59450,India,Employed,15,2,Console,,MMORPG,"Other,Toxicity,Poor community",3,3,Story,2,24,Free-to-play,214,No,Cosmetics,"Technical barriers,Other,Lack of friends",3,4,Yes,Yes
27,Male,14459,UK,Employed,10,3,PC,,Other,"Other,Repetitive quests,Pay-to-win",2,3,"Story,Crafting,PvE",4,17,Free-to-play,25,No,"Exclusive content,Supporting devs,Other",Other,4,5,Yes,Yes
32,Male,41349,USA,Student,6,8,Console,World of Warcraft,MOBA,"Other,Lack of innovation,Repetitive quests",4,4,PvP,3,20,Free-to-play,699,Yes,"Exclusive content,Supporting devs","Other,Lack of friends,Complexity",5,4,Yes,Yes
40,Male,28435,India,Self-employed,25,6,PC,Lost Ark,Other,"Repetitive quests,Lack of innovation",3,3,Exploration,2,15,Freemium,167,Maybe,Exclusive content,"Lack of friends,Other",3,3,No,Yes
40,Male,95203,Germany,Employed,15,6,Console,Final Fantasy XIV,Casual,Repetitive quests,4,4,Social systems,1,9,Freemium,0,Yes,"Supporting devs,Exclusive content,Progression boost","Time commitment,Complexity",4,4,No,Maybe
22,Female,88167,USA,Student,2,0,Mobile,Other,MOBA,"Lack of innovation,Repetitive quests,Other",4,5,PvE,4,8,Freemium,240,No,Cosmetics,"Technical barriers,Other,Lack of friends",3,3,No,Yes
32,Female,55612,Germany,Student,1,11,PC,Elder Scrolls Online,MOBA,"Toxicity,Too grindy,Technical issues",5,3,"Trading,PvE",3,15,Free-to-play,133,No,"Social reasons,Cosmetics,Supporting devs",Time commitment,3,3,Yes,Yes
25,Male,72140,USA,Student,16,4,Console,Other,MMORPG,Lack of innovation,4,1,"PvE,Story,Customization",5,0,Free-to-play,52,Yes,"Progression boost,Supporting devs,Other","Lack of friends,Complexity,Technical barriers",2,2,Yes,Yes
34,Male,31765,UK,Student,14,5,PC,Guild Wars 2,MOBA,"Repetitive quests,Other",4,4,Crafting,1,19,Freemium,35,No,"Social reasons,Cosmetics","Other,Technical barriers",2,3,Yes,Yes
36,Female,61396,UK,Other,9,4,PC,,Other,Lack of innovation,3,5,"Exploration,Customization",3,15,Freemium,233,Maybe,Other,"Time commitment,Lack of friends,Complexity",4,3,No,Yes
24,Female,38723,Canada,Employed,11,8,Console,Guild Wars 2,MMORPG,Toxicity,4,4,"PvE,Social systems",3,12,Free-to-play,0,No,"Social reasons,Supporting devs,Exclusive content","Other,Technical barriers",4,4,No,Maybe
32,Male,9432,India,Student,28,5,Console,Other,Other,"Toxicity,Too grindy",5,2,PvE,3,3,Free-to-play,18,No,"Progression boost,Social reasons,Cosmetics","Lack of friends,Technical barriers",5,3,No,Yes
27,Prefer not to say,62008,UK,Unemployed,15,6,Mobile,Elder Scrolls Online,MMORPG,"Other,Toxicity",4,5,Endgame content,3,13,Free-to-play,236,No,"Exclusive content,Cosmetics",Other,5,5,Yes,Maybe
30,Female,22663,USA,Other,25,1,PC,Elder Scrolls Online,MMORPG,"Other,Pay-to-win",4,3,"Crafting,Endgame content",3,14,Free-to-play,755,Maybe,"Supporting devs,Social reasons","Time commitment,Complexity",4,5,Yes,Maybe
29,Female,35522,USA,Unemployed,19,10,PC,,MMORPG,"Other,Technical issues,Lack of innovation",2,4,"Customization,Endgame content",4,9,Free-to-play,278,No,"Other,Cosmetics,Exclusive content","Complexity,Toxicity,Time commitment",3,4,Yes,Yes
24,Male,40448,UK,Employed,3,0,PC,,MOBA,"Poor community,Technical issues,Pay-to-win",5,3,"Exploration,Crafting",2,0,Freemium,16,Maybe,Social reasons,Complexity,2,5,No,Maybe
33,Male,28450,India,Employed,30,9,Console,Final Fantasy XIV,FPS,Technical issues,3,1,Exploration,5,0,Free-to-play,0,No,"Supporting devs,Other",Technical barriers,5,5,Yes,Maybe
35,Female,53207,Canada,Student,16,9,Console,Other,MMORPG,"Repetitive quests,Poor community,Too grindy",4,4,"Exploration,Story",4,11,Free-to-play,1,Yes,Progression boost,"Technical barriers,Toxicity,Lack of friends",3,2,Yes,Yes
25,Male,24482,USA,Employed,3,6,Console,Lost Ark,Other,"Technical issues,Other",5,4,"Endgame content,PvE",1,4,Buy-to-play,222,Yes,"Other,Progression boost","Complexity,Other,Technical barriers",3,3,No,Maybe
29,Female,24731,Germany,Employed,12,0,PC,,MMORPG,Toxicity,3,4,"Exploration,Story,Trading",2,15,Free-to-play,793,Maybe,Other,"Other,Toxicity",4,4,No,Maybe
35,Male,42728,Canada,Employed,8,6,PC,Elder Scrolls Online,FPS,"Lack of innovation,Other",4,4,PvP,3,6,Buy-to-play,13,Yes,Social reasons,"Time commitment,Lack of friends",2,5,Yes,No
17,Male,28383,USA,Unemployed,6,9,Console,Black Desert,MMORPG,"Poor community,Too grindy,Repetitive quests",3,5,"Exploration,Trading,Social systems",3,14,Subscription,544,Yes,"Progression boost,Supporting devs,Social reasons",Time commitment,5,2,No,Maybe
28,Prefer not to say,55099,USA,Student,15,5,Mobile,Final Fantasy XIV,MMORPG,"Technical issues,Pay-to-win",3,4,"Crafting,Endgame content",3,19,Free-to-play,387,Yes,"Other,Progression boost","Other,Complexity,Lack of friends",3,2,No,Yes
25,Male,145780,USA,Student,5,12,PC,Other,MMORPG,Repetitive quests,5,3,"PvE,Trading",4,25,Subscription,50,No,"Exclusive content,Cosmetics,Progression boost","Technical barriers,Other,Complexity",3,3,No,Yes
18,Male,29008,Other,Employed,2,6,Console,Final Fantasy XIV,FPS,Lack of innovation,3,4,"Crafting,Customization",1,14,Free-to-play,208,No,"Exclusive content,Other","Time commitment,Other,Toxicity",2,4,Yes,Maybe
34,Female,21920,UK,Employed,25,7,PC,Other,MMORPG,"Poor community,Other,Too grindy",3,3,"PvE,Trading",4,12,Free-to-play,170,No,"Other,Exclusive content,Cosmetics","Lack of friends,Complexity,Time commitment",3,4,Yes,Maybe
16,Male,37963,USA,Employed,4,3,PC,World of Warcraft,MOBA,"Too grindy,Pay-to-win,Repetitive quests",5,5,"Endgame content,Exploration",3,3,Free-to-play,58,Yes,Exclusive content,"Lack of friends,Toxicity",5,4,No,Yes
42,Non-binary,48857,Germany,Employed,13,4,Mobile,Elder Scrolls Online,MMORPG,"Pay-to-win,Technical issues",4,3,"PvE,Trading,Story",4,19,Free-to-play,0,Yes,"Cosmetics,Social reasons",Complexity,2,2,No,Maybe
29,Female,23116,Brazil,Employed,1,7,PC,Lost Ark,MMORPG,Lack of innovation,5,3,Endgame content,4,12,Free-to-play,87,No,Social reasons,Lack of friends,4,3,No,Maybe
27,Male,47138,Germany,Employed,6,9,Mobile,Guild Wars 2,MMORPG,"Other,Toxicity,Pay-to-win",3,3,"Endgame content,Trading,PvE",4,37,Free-to-play,103,No,"Exclusive content,Cosmetics,Other","Lack of friends,Toxicity,Time commitment",3,5,Yes,Maybe
29,Male,39635,Other,Student,18,11,PC,Guild Wars 2,Casual,"Toxicity,Lack of innovation,Poor community",4,4,"PvE,Endgame content",1,3,Subscription,60,No,Social reasons,"Complexity,Other,Toxicity",3,3,Yes,Yes
26,Female,52304,Brazil,Student,11,7,PC,Guild Wars 2,MMORPG,"Pay-to-win,Other,Too grindy",4,2,Social systems,3,10,Free-to-play,0,Maybe,Social reasons,"Lack of friends,Toxicity",4,5,No,Yes
34,Female,36072,Brazil,Employed,23,6,Mobile,Elder Scrolls Online,MMORPG,Lack of innovation,3,3,"Endgame content,PvP",3,8,Free-to-play,122,Yes,"Social reasons,Supporting devs","Technical barriers,Complexity,Time commitment",4,4,No,Maybe
29,Male,218367,USA,Unemployed,19,0,Console,Final Fantasy XIV,FPS,"Pay-to-win,Too grindy",1,4,Trading,1,10,Free-to-play,0,Maybe,"Exclusive content,Other","Time commitment,Complexity",2,4,No,Yes
